,,,TIMEHOME,TIMEWORK,TIMESHOP,TIMEOTHE,TIMETRAV,,,TIMEHOME,TIMEWORK,TIMESHOP,TIMEOTHE,TIMETRAV,,,,,TIMEHOME,TIMEHOME,,TIMEWORK,TIMEWORK,,TIMESHOP,TIMESHOP,,TIMEOTHE,TIMEOTHE,,TIMETRAV,TIMETRAV
,,Income,Mean,Mean,Mean,Mean,Mean,N,,Std,Std,Std,Std,Std,,,,Income,Mean,Std,,Mean,Std,,Mean,Std,,Mean,Std,,Mean,Std,,N
HHINCX,,,984.1785,=AVERAGE(E8:E24),21.291,109.905,64.8264,,,257.4312,=AVERAGE(L8:L24),56.2797,158.4693,62.2463,,,,,984.1785,257.4312,,=AVERAGE(W8:W24),=AVERAGE(X8:X24),,21.291,56.2797,,109.905,158.4693,,64.8264,62.2463,,=SUM(AI8:AI24)
,,Income,Home,Work,Shop,Other,Travel,,,,,,,,,,,Income,Home,,,Work,,,Shop,,,Other,,,Travel
1,0,5000,1053.45,133.575,19.25,170.0167,63.7083,120,,232.7032,230.6767,47.0989,191.1497,67.8025,,,,5000,1053.45,232.7032,=(T8-T$6)/(SQRT((U8^2/$AI8)+(U$6^2/$AI$6))),133.575,230.6767,=(W8-W$6)/(SQRT((X8^2/$AI8)+(X$6^2/$AI$6))),19.25,47.0989,=(Z8-Z$6)/(SQRT((AA8^2/$AI8)+(AA$6^2/$AI$6))),170.0167,191.1497,=(AC8-AC$6)/(SQRT((AD8^2/$AI8)+(AD$6^2/$AI$6))),63.7083,67.8025,=(AF8-AF$6)/(SQRT((AG8^2/$AI8)+(AG$6^2/$AI$6))),120
2,5000,9999,1067.3627,168.4261,18.6725,129.5282,56.0106,284,,248.3162,245.7303,52.5154,190.3586,54.3106,,,,9999,1067.3627,248.3162,=(T9-T$6)/(SQRT((U9^2/$AI9)+(U$6^2/$AI$6))),168.4261,245.7303,=(W9-W$6)/(SQRT((X9^2/$AI9)+(X$6^2/$AI$6))),18.6725,52.5154,=(Z9-Z$6)/(SQRT((AA9^2/$AI9)+(AA$6^2/$AI$6))),129.5282,190.3586,=(AC9-AC$6)/(SQRT((AD9^2/$AI9)+(AD$6^2/$AI$6))),56.0106,54.3106,=(AF9-AF$6)/(SQRT((AG9^2/$AI9)+(AG$6^2/$AI$6))),284
3,10000,14999,1037.1792,209.8428,17.5566,119.9465,55.4748,318,,252.5491,257.7172,45.4293,164.7509,46.8267,,,,14999,1037.1792,252.5491,=(T10-T$6)/(SQRT((U10^2/$AI10)+(U$6^2/$AI$6))),209.8428,257.7172,=(W10-W$6)/(SQRT((X10^2/$AI10)+(X$6^2/$AI$6))),17.5566,45.4293,=(Z10-Z$6)/(SQRT((AA10^2/$AI10)+(AA$6^2/$AI$6))),119.9465,164.7509,=(AC10-AC$6)/(SQRT((AD10^2/$AI10)+(AD$6^2/$AI$6))),55.4748,46.8267,=(AF10-AF$6)/(SQRT((AG10^2/$AI10)+(AG$6^2/$AI$6))),318
4,15000,=+C10+5000,1017.1875,243.5313,20.6465,100.7461,57.8887,512,,256.9953,267.8346,65.0979,138.3114,57.4853,,,,=+S10+5000,1017.1875,256.9953,=(T11-T$6)/(SQRT((U11^2/$AI11)+(U$6^2/$AI$6))),243.5313,267.8346,=(W11-W$6)/(SQRT((X11^2/$AI11)+(X$6^2/$AI$6))),20.6465,65.0979,=(Z11-Z$6)/(SQRT((AA11^2/$AI11)+(AA$6^2/$AI$6))),100.7461,138.3114,=(AC11-AC$6)/(SQRT((AD11^2/$AI11)+(AD$6^2/$AI$6))),57.8887,57.4853,=(AF11-AF$6)/(SQRT((AG11^2/$AI11)+(AG$6^2/$AI$6))),512
5,=+B11+5000,=+C11+5000,998.7952,256.3876,20.8333,106.4378,57.5462,498,,258.7138,272.672,54.8931,150.3742,51.5905,,,,=+S11+5000,998.7952,258.7138,=(T12-T$6)/(SQRT((U12^2/$AI12)+(U$6^2/$AI$6))),256.3876,272.672,=(W12-W$6)/(SQRT((X12^2/$AI12)+(X$6^2/$AI$6))),20.8333,54.8931,=(Z12-Z$6)/(SQRT((AA12^2/$AI12)+(AA$6^2/$AI$6))),106.4378,150.3742,=(AC12-AC$6)/(SQRT((AD12^2/$AI12)+(AD$6^2/$AI$6))),57.5462,51.5905,=(AF12-AF$6)/(SQRT((AG12^2/$AI12)+(AG$6^2/$AI$6))),498
6,=+B12+5000,=+C12+5000,1010.973,240.027,18.8551,111.1619,58.983,704,,258.5705,270.6218,44.2752,159.9659,56.175,,,,=+S12+5000,1010.973,258.5705,=(T13-T$6)/(SQRT((U13^2/$AI13)+(U$6^2/$AI$6))),240.027,270.6218,=(W13-W$6)/(SQRT((X13^2/$AI13)+(X$6^2/$AI$6))),18.8551,44.2752,=(Z13-Z$6)/(SQRT((AA13^2/$AI13)+(AA$6^2/$AI$6))),111.1619,159.9659,=(AC13-AC$6)/(SQRT((AD13^2/$AI13)+(AD$6^2/$AI$6))),58.983,56.175,=(AF13-AF$6)/(SQRT((AG13^2/$AI13)+(AG$6^2/$AI$6))),704
7,=+B13+5000,=+C13+5000,986.3347,250.1275,25.1975,116.07,62.2703,714,,258.8899,269.7973,62.757,170.566,61.545,,,,=+S13+5000,986.3347,258.8899,=(T14-T$6)/(SQRT((U14^2/$AI14)+(U$6^2/$AI$6))),250.1275,269.7973,=(W14-W$6)/(SQRT((X14^2/$AI14)+(X$6^2/$AI$6))),25.1975,62.757,=(Z14-Z$6)/(SQRT((AA14^2/$AI14)+(AA$6^2/$AI$6))),116.07,170.566,=(AC14-AC$6)/(SQRT((AD14^2/$AI14)+(AD$6^2/$AI$6))),62.2703,61.545,=(AF14-AF$6)/(SQRT((AG14^2/$AI14)+(AG$6^2/$AI$6))),714
8,=+B14+5000,=+C14+5000,976.6307,280.7425,18.7464,102.4369,61.4434,769,,257.7315,271.1488,46.2269,155.565,61.0229,,,,=+S14+5000,976.6307,257.7315,=(T15-T$6)/(SQRT((U15^2/$AI15)+(U$6^2/$AI$6))),280.7425,271.1488,=(W15-W$6)/(SQRT((X15^2/$AI15)+(X$6^2/$AI$6))),18.7464,46.2269,=(Z15-Z$6)/(SQRT((AA15^2/$AI15)+(AA$6^2/$AI$6))),102.4369,155.565,=(AC15-AC$6)/(SQRT((AD15^2/$AI15)+(AD$6^2/$AI$6))),61.4434,61.0229,=(AF15-AF$6)/(SQRT((AG15^2/$AI15)+(AG$6^2/$AI$6))),769
9,=+B15+5000,=+C15+5000,972.6529,267.473,23.7194,109.7482,66.4065,556,,267.3578,276.5471,59.9787,167.203,63.8151,,,,=+S15+5000,972.6529,267.3578,=(T16-T$6)/(SQRT((U16^2/$AI16)+(U$6^2/$AI$6))),267.473,276.5471,=(W16-W$6)/(SQRT((X16^2/$AI16)+(X$6^2/$AI$6))),23.7194,59.9787,=(Z16-Z$6)/(SQRT((AA16^2/$AI16)+(AA$6^2/$AI$6))),109.7482,167.203,=(AC16-AC$6)/(SQRT((AD16^2/$AI16)+(AD$6^2/$AI$6))),66.4065,63.8151,=(AF16-AF$6)/(SQRT((AG16^2/$AI16)+(AG$6^2/$AI$6))),556
10,=+B16+5000,=+C16+5000,950.9948,283.2118,24.4167,112.5729,68.8038,576,,252.9753,272.6043,59.7346,164.1086,84.2415,,,,=+S16+5000,950.9948,252.9753,=(T17-T$6)/(SQRT((U17^2/$AI17)+(U$6^2/$AI$6))),283.2118,272.6043,=(W17-W$6)/(SQRT((X17^2/$AI17)+(X$6^2/$AI$6))),24.4167,59.7346,=(Z17-Z$6)/(SQRT((AA17^2/$AI17)+(AA$6^2/$AI$6))),112.5729,164.1086,=(AC17-AC$6)/(SQRT((AD17^2/$AI17)+(AD$6^2/$AI$6))),68.8038,84.2415,=(AF17-AF$6)/(SQRT((AG17^2/$AI17)+(AG$6^2/$AI$6))),576
11,=+B17+5000,=+C17+5000,974.4905,282.9847,27.0763,88.1374,67.3111,524,,248.476,272.7349,81.4223,134.4839,56.8482,,,,=+S17+5000,974.4905,248.476,=(T18-T$6)/(SQRT((U18^2/$AI18)+(U$6^2/$AI$6))),282.9847,272.7349,=(W18-W$6)/(SQRT((X18^2/$AI18)+(X$6^2/$AI$6))),27.0763,81.4223,=(Z18-Z$6)/(SQRT((AA18^2/$AI18)+(AA$6^2/$AI$6))),88.1374,134.4839,=(AC18-AC$6)/(SQRT((AD18^2/$AI18)+(AD$6^2/$AI$6))),67.3111,56.8482,=(AF18-AF$6)/(SQRT((AG18^2/$AI18)+(AG$6^2/$AI$6))),524
12,=+B18+5000,=+C18+5000,974.6,264.9138,20.5853,109.0862,70.8147,545,,256.4116,270.7834,52.2344,149.7968,69.8892,,,,=+S18+5000,974.6,256.4116,=(T19-T$6)/(SQRT((U19^2/$AI19)+(U$6^2/$AI$6))),264.9138,270.7834,=(W19-W$6)/(SQRT((X19^2/$AI19)+(X$6^2/$AI$6))),20.5853,52.2344,=(Z19-Z$6)/(SQRT((AA19^2/$AI19)+(AA$6^2/$AI$6))),109.0862,149.7968,=(AC19-AC$6)/(SQRT((AD19^2/$AI19)+(AD$6^2/$AI$6))),70.8147,69.8892,=(AF19-AF$6)/(SQRT((AG19^2/$AI19)+(AG$6^2/$AI$6))),545
13,=+B19+5000,=+C19+5000,966.6007,265.3819,15.5799,119.9965,72.441,288,,262.7024,281.6791,39.5618,168.4732,66.8244,,,,=+S19+5000,966.6007,262.7024,=(T20-T$6)/(SQRT((U20^2/$AI20)+(U$6^2/$AI$6))),265.3819,281.6791,=(W20-W$6)/(SQRT((X20^2/$AI20)+(X$6^2/$AI$6))),15.5799,39.5618,=(Z20-Z$6)/(SQRT((AA20^2/$AI20)+(AA$6^2/$AI$6))),119.9965,168.4732,=(AC20-AC$6)/(SQRT((AD20^2/$AI20)+(AD$6^2/$AI$6))),72.441,66.8244,=(AF20-AF$6)/(SQRT((AG20^2/$AI20)+(AG$6^2/$AI$6))),288
14,=+B20+5000,=+C20+5000,963.0199,271.9858,23.4473,110.3732,71.1738,351,,256.8789,265.9298,53.6327,158.5944,57.5266,,,,=+S20+5000,963.0199,256.8789,=(T21-T$6)/(SQRT((U21^2/$AI21)+(U$6^2/$AI$6))),271.9858,265.9298,=(W21-W$6)/(SQRT((X21^2/$AI21)+(X$6^2/$AI$6))),23.4473,53.6327,=(Z21-Z$6)/(SQRT((AA21^2/$AI21)+(AA$6^2/$AI$6))),110.3732,158.5944,=(AC21-AC$6)/(SQRT((AD21^2/$AI21)+(AD$6^2/$AI$6))),71.1738,57.5266,=(AF21-AF$6)/(SQRT((AG21^2/$AI21)+(AG$6^2/$AI$6))),351
15,=+B21+5000,=+C21+5000,958.257,291.0522,22.1928,98.0763,70.4217,249,,259.9208,260.9355,65.8978,138.8026,66.4909,,,,=+S21+5000,958.257,259.9208,=(T22-T$6)/(SQRT((U22^2/$AI22)+(U$6^2/$AI$6))),291.0522,260.9355,=(W22-W$6)/(SQRT((X22^2/$AI22)+(X$6^2/$AI$6))),22.1928,65.8978,=(Z22-Z$6)/(SQRT((AA22^2/$AI22)+(AA$6^2/$AI$6))),98.0763,138.8026,=(AC22-AC$6)/(SQRT((AD22^2/$AI22)+(AD$6^2/$AI$6))),70.4217,66.4909,=(AF22-AF$6)/(SQRT((AG22^2/$AI22)+(AG$6^2/$AI$6))),249
16,=+B22+5000,=+C22+5000,945.402,302.5075,21.5879,102.3518,68.1508,199,,250.8625,279.767,47.944,147.8786,54.8887,,,,=+S22+5000,945.402,250.8625,=(T23-T$6)/(SQRT((U23^2/$AI23)+(U$6^2/$AI$6))),302.5075,279.767,=(W23-W$6)/(SQRT((X23^2/$AI23)+(X$6^2/$AI$6))),21.5879,47.944,=(Z23-Z$6)/(SQRT((AA23^2/$AI23)+(AA$6^2/$AI$6))),102.3518,147.8786,=(AC23-AC$6)/(SQRT((AD23^2/$AI23)+(AD$6^2/$AI$6))),68.1508,54.8887,=(AF23-AF$6)/(SQRT((AG23^2/$AI23)+(AG$6^2/$AI$6))),199
17,80000,+,957.8225,277.5252,19.6345,112.7132,72.3046,952,,251.6598,272.6913,52.2358,157.4409,61.9933,,,,+,957.8225,251.6598,=(T24-T$6)/(SQRT((U24^2/$AI24)+(U$6^2/$AI$6))),277.5252,272.6913,=(W24-W$6)/(SQRT((X24^2/$AI24)+(X$6^2/$AI$6))),19.6345,52.2358,=(Z24-Z$6)/(SQRT((AA24^2/$AI24)+(AA$6^2/$AI$6))),112.7132,157.4409,=(AC24-AC$6)/(SQRT((AD24^2/$AI24)+(AD$6^2/$AI$6))),72.3046,61.9933,=(AF24-AF$6)/(SQRT((AG24^2/$AI24)+(AG$6^2/$AI$6))),952
